STUDENT_IDENTIFIER,STDNT_AGE,STDNT_GENDER,STDNT_BACKGROUND,IN_STATE_FLAG,INTERNATIONAL_STS,STDNT_MAJOR,STDNT_MINOR,STDNT_TEST_ENTRANCE1,STDNT_TEST_ENTRANCE2,STDNT_TEST_ENTRANCE_COMB,FIRST_TERM,CORE_COURSE_NAME_1_F,CORE_COURSE_GRADE_1_F,CORE_COURSE_NAME_2_F,CORE_COURSE_GRADE_2_F,CORE_COURSE_NAME_3_F,CORE_COURSE_GRADE_3_F,CORE_COURSE_NAME_4_F,CORE_COURSE_GRADE_4_F,CORE_COURSE_NAME_5_F,CORE_COURSE_GRADE_5_F,CORE_COURSE_NAME_6_F,CORE_COURSE_GRADE_6_F,SECOND_TERM,CORE_COURSE_NAME_1_S,CORE_COURSE_GRADE_1_S,CORE_COURSE_NAME_2_S,CORE_COURSE_GRADE_2_S,CORE_COURSE_NAME_3_S,CORE_COURSE_GRADE_3_S,CORE_COURSE_NAME_4_S,CORE_COURSE_GRADE_4_S,CORE_COURSE_NAME_5_S,CORE_COURSE_GRADE_5_S,CORE_COURSE_NAME_6_S,CORE_COURSE_GRADE_6_S,HOUSING_STS,RETURNED_2ND_YR,DISTANCE_FROM_HOME,HIGH_SCHL_GPA,HIGH_SCHL_NAME,FATHER_HI_EDU_CD,FATHER_HI_EDU_DESC,MOTHER_HI_EDU_CD,MOTHER_HI_EDU_DESC,DEGREE_GROUP_CD,DEGREE_GROUP_DESC,FIRST_TERM_ATTEMPT_HRS,FIRST_TERM_EARNED_HRS,SECOND_TERM_ATTEMPT_HRS,SECOND_TERM_EARNED_HRS,GROSS_FIN_NEED,COST_OF_ATTEND,EST_FAM_CONTRIBUTION,UNMET_NEED,credit_momentum,credit_momentum_label,gateway_struggle,gateway_performance,extreme_unmet_need,unmet_need_segment,low_earned_hours,risk_score,risk_category,gpa_quartile,test_quartile,weak_preparation,efc_segment,financial_profile,gross_need_quartile,unmet_need_quartile,net_price_category,unmet_need_normalized,efc_normalized,financial_stress_score,financial_stress_level,revenue_if_retained,revenue_loss_if_not_returned,full_time_first_term,full_time_label,credit_intensity,second_term_enrolled,second_term_status,has_both_terms,credit_change,credit_momentum_trend,first_term_year,first_term_month,admission_season,cohort,father_first_gen,mother_first_gen,first_gen,first_gen_label,residency_label,distance_category,off_campus,out_of_state,demographic_disadvantage_score,demographic_disadvantage_level
7884573,18,F,BGD 1,Y,N,Undeclared,N,,1050.0,1070.0,200708,ARTH 1100,A,CHEM 1211,A,CHEM 1211L,A,ECON 2105,A,ENGL 1101,A,MATH 1111,A,200802,ECON 2106,A,ENGL 1102,A,HIST 1112,A,MATH 1125,A,,,,,Off Campus,0,69.0,4.0,SCHOOL 11,1.0,Middle School/Junior High,2.0,High School,B,Bachelors,16,16,16.0,16.0,0,1189920,5163240,-326880.0,1,On Track (15+ hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q4-Highest,Q3-Above Avg,0,High EFC (>$810k),High EFC / Manageable (<$469k),Q1-Lowest Need,Q1-Lowest Unmet,Very Affordable,0.3111688552735372,0.8605486054860548,0.4506202497874824,Low Stress,12000,12000,1,Full-Time (≥12 hrs),Full Load (15-17),1,Enrolled 2nd Term,True,0.0,Stable (±1),2007,8,Summer,Summer 2007,1,1,1,First-Generation,In-State,Regional (25-100),0,0,1,Single Factor
7915174,18,F,BGD 6,Y,N,Biology,N,,1250.0,1260.0,200808,ARTH 1100,A,ENGL 1102,A,MATH 1132,A,POLS 1101,A,,,,,200902,SPAN 1001,A,STAT 1127,A,,,,,,,,,Off Campus,1,69.0,3.93,SCHOOL 2,,No Information,,No Information,B,Bachelors,17,17,13.0,13.0,0,0,0,0.0,1,On Track (15+ hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q4-Highest,Q4-Highest,0,Lower/Middle EFC,Lower/Middle EFC / Manageable (<$469k),Q1-Lowest Need,Q1-Lowest Unmet,Very Affordable,0.42607598888049913,0.0,1.4260759888804992,High Stress,12000,0,1,Full-Time (≥12 hrs),Full Load (15-17),1,Enrolled 2nd Term,True,-4.0,Major Drop (>3 hrs),2008,8,Summer,Summer 2008,0,0,0,Continuing-Generation,In-State,Regional (25-100),0,0,0,No Disadvantage
7793763,17,M,BGD 1,Y,N,Psychology,N,,1230.0,1220.0,200808,ARTH 1100,A,ENGL 1101,A,POLS 2401,A,,,,,,,200902,ENGL 1102,A,HIST 2112,A,MATH 1111,A,POLS 1101,A,,,,,Off Campus,1,0.0,4.0,SCHOOL 130,3.0,College/Beyond,2.0,High School,B,Bachelors,15,15,16.0,16.0,0,1255740,1344360,-347580.0,1,On Track (15+ hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q4-Highest,Q4-Highest,0,High EFC (>$810k),High EFC / Manageable (<$469k),Q1-Lowest Need,Q1-Lowest Unmet,Very Affordable,0.3038922471431404,0.22406224062240623,1.0798300065207342,High Stress,12000,0,1,Full-Time (≥12 hrs),Full Load (15-17),1,Enrolled 2nd Term,True,1.0,Stable (±1),2008,8,Summer,Summer 2008,0,1,0,Continuing-Generation,In-State,Local (<25 mi),0,0,0,No Disadvantage
7856147,18,F,BGD 1,Y,N,Theatre Arts,N,28.0,1220.0,1260.0,201008,BIOL 1125,A,COMM 1110,A,,,,,,,,,201102,MATH 1101,A,THEA 1100,A,,,,,,,,,On Campus,1,69.0,3.96,SCHOOL 28,3.0,College/Beyond,3.0,College/Beyond,B,Bachelors,15,15,18.0,18.0,0,0,0,0.0,1,On Track (15+ hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q4-Highest,Q4-Highest,0,Lower/Middle EFC,Lower/Middle EFC / Manageable (<$469k),Q1-Lowest Need,Q1-Lowest Unmet,Very Affordable,0.42607598888049913,0.0,1.4260759888804992,High Stress,12000,0,1,Full-Time (≥12 hrs),Full Load (15-17),1,Enrolled 2nd Term,True,3.0,Minor Increase (1-3),2010,8,Summer,Summer 2010,0,0,0,Continuing-Generation,In-State,Regional (25-100),0,0,0,No Disadvantage
7963414,18,F,BGD 1,Y,N,Theatre Arts,N,,1220.0,1220.0,201008,BIOL 1125,A,COMM 1110,A,MATH 1113,A,,,,,,,201102,ARTH 1100,A,HIST 2112,A,POLS 1101H,A,,,,,,,On Campus,1,150.0,3.35,SCHOOL 19,2.0,High School,3.0,College/Beyond,B,Bachelors,18,18,15.0,15.0,0,0,0,0.0,1,On Track (15+ hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q3-Above Avg,Q4-Highest,0,Lower/Middle EFC,Lower/Middle EFC / Manageable (<$469k),Q1-Lowest Need,Q1-Lowest Unmet,Very Affordable,0.42607598888049913,0.0,1.4260759888804992,High Stress,12000,0,1,Full-Time (≥12 hrs),Heavy Load (18+),1,Enrolled 2nd Term,True,-3.0,Major Drop (>3 hrs),2010,8,Summer,Summer 2010,1,0,0,Continuing-Generation,In-State,Distant (100-300),0,0,0,No Disadvantage
7824708,18,F,BGD 1,Y,N,Undeclared,N,23.0,,1070.0,201008,BIOL 1125,A,ECON 2105,A,ENGL 1101,A,HIST 1111,A,,,,,201102,BIOL 1215K,A,ENGL 1102,A,HIST 2111,A,SPAN 1001,A,,,,,Off Campus,1,69.0,,SCHOOL 98,2.0,High School,3.0,College/Beyond,B,Bachelors,12,12,17.0,13.0,0,0,0,0.0,0,Behind (<15 hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,,Q3-Above Avg,0,Lower/Middle EFC,Lower/Middle EFC / Manageable (<$469k),Q1-Lowest Need,Q1-Lowest Unmet,Very Affordable,0.42607598888049913,0.0,1.4260759888804992,High Stress,12000,0,1,Full-Time (≥12 hrs),Standard (12-14),1,Enrolled 2nd Term,True,1.0,Stable (±1),2010,8,Summer,Summer 2010,1,0,0,Continuing-Generation,In-State,Regional (25-100),0,0,0,No Disadvantage
8004193,17,M,BGD 1,N,N,Biology,N,,1040.0,1030.0,200908,BIOL 1215K,A,ITDS 2735,A,STAT 1127,A,POLS 1101,A,,,,,201002,BIOL 1225K,A,CHEM 1211,A,CHEM 1211L,A,HIST 1111,A,MATH 1113,A,,,Off Campus,0,661.0,3.5,SCHOOL 14,3.0,College/Beyond,2.0,High School,B,Bachelors,14,14,14.0,14.0,1083000,1324500,241500,476580.0,0,Behind (<15 hrs),0,Strong (A/B),1,Extreme (>$469k),0,1,2-Moderate Risk,Q3-Above Avg,Q3-Above Avg,0,Lower/Middle EFC,Lower/Middle EFC / Extreme (>$469k),Q2-Low Need,Q3-Moderate Unmet,Very Expensive,0.59360670882178,0.04025040250402504,1.5533563063177551,Severe Stress,12000,12000,1,Full-Time (≥12 hrs),Standard (12-14),1,Enrolled 2nd Term,True,0.0,Stable (±1),2009,8,Summer,Summer 2009,0,1,0,Continuing-Generation,Out-of-State,Very Distant (300+),0,1,1,Single Factor
7847769,18,M,BGD 6,Y,N,Biology,N,,1110.0,1110.0,201008,BIOL 1215K,A,COMM 1110,A,ENGL 1101,A,HIST 2111,A,,,,,201102,BIOL 1225K,A,CHEM 1211,A,CHEM 1211L,A,ENGL 1102,A,MATH 1111,A,PSYC 1101,A,On Campus,1,150.0,2.4,SCHOOL 121,3.0,College/Beyond,3.0,College/Beyond,B,Bachelors,17,13,17.0,17.0,0,0,0,0.0,0,Behind (<15 hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q1-Lowest,Q3-Above Avg,1,Lower/Middle EFC,Lower/Middle EFC / Manageable (<$469k),Q1-Lowest Need,Q1-Lowest Unmet,Very Affordable,0.42607598888049913,0.0,1.4260759888804992,High Stress,12000,0,1,Full-Time (≥12 hrs),Standard (12-14),1,Enrolled 2nd Term,True,4.0,Major Increase (>3),2010,8,Summer,Summer 2010,0,0,0,Continuing-Generation,In-State,Distant (100-300),0,0,0,No Disadvantage
7955834,18,F,BGD 1,N,N,Nursing,N,21.0,1050.0,990.0,200508,CHEM 1151,A,CHEM 1151L,A,MATH 1111,A,,,,,,,200602,HIST 2112,A,MUSC 1100,A,,,,,,,,,Off Campus,1,0.0,3.71,SCHOOL 15,2.0,High School,2.0,High School,B,Bachelors,12,12,13.0,13.0,567000,835680,268680,409500.0,0,Behind (<15 hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q4-Highest,Q2-Below Avg,0,Lower/Middle EFC,Lower/Middle EFC / Manageable (<$469k),Q1-Lowest Need,Q3-Moderate Unmet,Expensive,0.5700262801557405,0.04478044780447805,1.5252458323512625,Severe Stress,12000,0,1,Full-Time (≥12 hrs),Standard (12-14),1,Enrolled 2nd Term,True,1.0,Stable (±1),2005,8,Summer,Summer 2005,1,1,1,First-Generation,Out-of-State,Local (<25 mi),0,1,2,Multiple Factors
7835444,18,F,BGD 3,Y,N,Nursing,N,19.0,930.0,910.0,200608,CHEM 1151,A,CHEM 1151L,A,ENGL 1101,A,MATH 1101,A,,,,,200702,ENGL 1102,A,PSYC 1101,A,,,,,,,,,On Campus,1,138.0,3.72,SCHOOL 283,3.0,College/Beyond,3.0,College/Beyond,B,Bachelors,12,12,13.0,13.0,0,1176420,1875240,-299160.0,0,Behind (<15 hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q4-Highest,Q1-Lowest,1,High EFC (>$810k),High EFC / Manageable (<$469k),Q1-Lowest Need,Q1-Lowest Unmet,Very Affordable,0.32091318268293817,0.3125431254312543,1.0083700572516838,High Stress,12000,0,1,Full-Time (≥12 hrs),Standard (12-14),1,Enrolled 2nd Term,True,1.0,Stable (±1),2006,8,Summer,Summer 2006,0,0,0,Continuing-Generation,In-State,Distant (100-300),0,0,0,No Disadvantage
7879984,18,F,BGD 1,Y,N,Undeclared,N,,1310.0,1300.0,200608,CHEM 1151,A,CHEM 1151L,A,ECON 2105,A,LEAD 1705,A,,,,,200702,COMM 1110H,A,ENGL 1102,A,MUSC 1100,A,,,,,,,On Campus,1,283.0,3.73,SCHOOL 304,2.0,High School,3.0,College/Beyond,B,Bachelors,15,15,13.0,13.0,0,0,0,0.0,1,On Track (15+ hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q4-Highest,Q4-Highest,0,Lower/Middle EFC,Lower/Middle EFC / Manageable (<$469k),Q1-Lowest Need,Q1-Lowest Unmet,Very Affordable,0.42607598888049913,0.0,1.4260759888804992,High Stress,12000,0,1,Full-Time (≥12 hrs),Full Load (15-17),1,Enrolled 2nd Term,True,-2.0,Minor Drop (1-3),2006,8,Summer,Summer 2006,1,0,0,Continuing-Generation,In-State,Distant (100-300),0,0,0,No Disadvantage
8033729,18,F,BGD 1,Y,N,Nursing,N,,1200.0,1190.0,200708,CHEM 1151,A,CHEM 1151L,A,ENGL 1101,A,MATH 1111,A,,,,,200802,ARTH 1100,A,COMM 1110,A,ENGL 1102,A,HIST 2112,A,,,,,Off Campus,1,69.0,3.5,SCHOOL 2,3.0,College/Beyond,3.0,College/Beyond,B,Bachelors,13,13,16.0,16.0,0,1189920,5328600,-326880.0,0,Behind (<15 hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q3-Above Avg,Q4-Highest,0,High EFC (>$810k),High EFC / Manageable (<$469k),Q1-Lowest Need,Q1-Lowest Unmet,Very Affordable,0.3111688552735372,0.8881088810888109,0.4230599741847263,Low Stress,12000,0,1,Full-Time (≥12 hrs),Standard (12-14),1,Enrolled 2nd Term,True,3.0,Minor Increase (1-3),2007,8,Summer,Summer 2007,0,0,0,Continuing-Generation,In-State,Regional (25-100),0,0,0,No Disadvantage
8007842,18,F,BGD 1,Y,N,Pre-Nursing,N,,580.0,590.0,200808,CHEM 1151,A,CHEM 1151L,A,ENGL 1101,A,MATH 1101,A,,,,,200902,CPSC 1105,A,COMM 1110,A,ENGL 1102,A,ITDS 2749,A,,,,,Off Campus,0,69.0,3.12,SCHOOL 130,2.0,High School,2.0,High School,B,Bachelors,15,15,15.0,15.0,0,0,0,0.0,1,On Track (15+ hrs),0,Strong (A/B),0,Manageable (<$469k),0,0,1-Low Risk,Q2-Below Avg,Q1-Lowest,1,Lower/Middle EFC,Lower/Middle EFC / Manageable (<$469k),Q1-Lowest Need,Q1-Lowest Unmet,Very Affordable,0.42607598888049913,0.0,1.4260759888804992,High Stress,12000,12000,1,Full-Time (≥12 hrs),Full Load (15-17),1,Enrolled 2nd Term,True,0.0,Stable (±1),2008,8,Summer,Summer 2008,1,1,1,First-Generation,In-State,Regional (25-100),0,0,1,Single Factor
